,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
13,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
27,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
54,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
57,Gold Coast,AU,83.89,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
63,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
72,Labuhan,ID,82.44,moderate rain,-6.8844,112.2051,DoubleFAG
75,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
120,Santa Rosa,PH,84.18,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
121,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
123,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
134,Amahai,ID,84.94,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
137,Kavaratti,IN,82.76,overcast clouds,10.5669,72.642,Green leaf
145,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
147,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Tucurui,BR,82.09,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
181,Caraballeda,VE,82.36,overcast clouds,10.6112,-66.8522,Ole Caribe
199,Nam Phong,TH,81.09,broken clouds,16.7023,102.8557,Koon Garden Resort
210,Galesong,ID,82.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
216,Bubaque,GW,83.12,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
219,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
222,Karratha,AU,83.01,clear sky,-20.7377,116.8463,ibis Styles Karratha
228,Sola,VU,81.27,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
230,Pandan,PH,83.91,overcast clouds,14.0453,124.1694,Bonifacio Lodge
240,Kiunga,PG,87.57,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
249,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Neiafu,TO,86.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
264,Butaritari,KI,81.84,broken clouds,3.0707,172.7902,Isles Sunset Lodge
272,Plaeng Yao,TH,84.76,overcast clouds,13.5847,101.284,Nongkrok Resort
277,Emerald,AU,85.78,clear sky,-23.5333,148.1667,Emerald Inn
282,Tera,NE,82.65,clear sky,14.0078,0.7531,Hotel Daressalam Téra
291,Dingle,PH,83.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
297,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
313,Road Town,VG,80.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
341,Katobu,ID,87.66,broken clouds,-4.9408,122.5276,La Ode Husein
352,Waingapu,ID,85.78,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
353,Kupang,ID,85.55,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
357,Vanimo,PG,86.83,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
372,Trinidad,BO,81.19,clear sky,-14.8333,-64.9,Hotel Piesta
376,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
378,Kavieng,PG,83.1,light rain,-2.5744,150.7967,Nusa Island Retreat
380,Sosua,DO,80.58,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
389,Innisfail,AU,83.35,scattered clouds,-17.5333,146.0333,Moondarra Motel
390,Kanigoro,ID,80.1,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
394,Wewak,PG,85.59,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
395,Kulhudhuffushi,MV,80.87,overcast clouds,6.6221,73.07,Haajy Guest House 1
401,Manaus,BR,84.69,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
404,Bima,ID,85.46,overcast clouds,-8.4667,118.7167,Lambitu Hotel
408,Biak,ID,83.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
411,Yulara,AU,89.69,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
412,Lorengau,PG,85.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
428,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
444,Alice Springs,AU,88.21,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
450,Dhidhdhoo,MV,80.94,overcast clouds,6.8833,73.1,Dhidhoo beach
462,Doha,QA,82.29,clear sky,25.2867,51.5333,Mövenpick Doha
468,Broken Hill,AU,86.43,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
474,Hobyo,SO,80.29,light rain,5.3505,48.5268,Halane Hotel and Restaurent
477,Pundaguitan,PH,82.15,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
483,Sitangkai,PH,82.9,broken clouds,4.6628,119.3928,Ama House
488,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
501,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
512,Banjar,ID,82.31,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
513,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
515,Majene,ID,84.74,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
549,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
553,Ugoofaaru,MV,80.67,overcast clouds,5.6667,73.0,Ungoofaaru Inn
567,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
579,Kununurra,AU,91.38,clear sky,-15.7667,128.7333,Hotel Kununurra
584,Samarai,PG,81.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
592,Blackwater,AU,84.56,clear sky,-23.5833,148.8833,Blackwater Motor Inn
593,Gizo,SB,83.59,light rain,-8.103,156.8419,Imagination Island
610,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
617,Magdalena,PH,82.96,scattered clouds,14.1999,121.429,Samparada & Gestiada Residences
622,Parana,AR,80.55,scattered clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
636,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
640,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Dicabisagan,PH,83.91,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
647,Moranbah,AU,85.44,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
650,El Jicaro,GT,85.53,few clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
663,Cartagena,CO,82.02,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
666,Lahaina,US,84.2,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
675,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
